,國文,英文,數學,社會,自然
0,12,15,9,11,8
1,13,14,14,6,8
2,15,11,12,13,14
3,9,10,14,13,6
4,9,12,6,12,12
5,12,9,14,15,15
6,6,12,8,10,13
7,8,10,15,6,12
8,11,7,8,14,14
9,10,9,11,7,13
10,11,15,7,8,13
11,15,6,11,11,8
12,13,7,12,8,6
13,10,9,11,12,11
14,8,10,14,6,9
15,15,9,13,9,6
16,7,8,7,6,10
17,12,12,13,11,8
18,15,9,6,15,12
19,9,14,10,12,6
20,15,12,13,11,13
21,9,10,8,13,11
22,14,7,7,10,11
23,6,7,11,11,14
24,6,9,9,7,11
25,14,12,9,15,6
26,10,8,11,8,9
27,12,6,12,11,13
28,13,8,10,10,12
29,8,14,13,6,15
30,13,7,11,12,6
31,7,6,7,6,11
32,8,13,9,11,9
33,10,8,11,13,10
34,6,8,11,15,7
35,11,6,12,7,12
36,12,14,14,12,10
37,14,9,13,10,14
38,6,9,14,7,8
39,13,10,12,10,12
40,6,11,8,6,15
41,8,14,6,6,7
42,13,7,9,6,13
43,14,14,14,15,13
44,15,10,15,12,13
45,6,12,11,6,7
46,6,10,15,14,13
47,9,10,12,13,14
48,14,6,13,12,11
49,12,11,14,7,14
50,8,12,7,8,8
51,10,9,12,8,14
52,12,8,11,13,12
53,10,12,9,12,14
54,11,7,6,10,9
55,10,6,7,12,9
56,7,6,9,10,7
57,13,15,15,11,11
58,6,14,15,9,7
59,13,11,6,8,8
60,13,13,7,6,8
61,13,9,10,9,15
62,8,12,10,10,7
63,12,15,9,12,13
64,12,7,13,15,11
65,13,11,15,9,15
66,13,6,13,9,11
67,11,15,15,13,12
68,6,14,14,9,13
69,6,11,15,12,15
70,12,12,12,9,11
71,13,15,12,8,8
72,6,12,8,11,11
73,11,7,7,11,11
74,12,11,12,9,15
75,12,14,12,7,6
76,8,7,12,14,6
77,14,15,6,14,15
78,8,12,6,6,15
79,11,11,7,15,10
80,6,14,6,7,15
81,13,9,14,15,6
82,13,10,15,15,10
83,11,11,6,8,7
84,11,9,12,12,11
85,7,12,14,15,15
86,6,7,7,6,8
87,13,6,14,15,13
88,9,8,13,15,13
89,8,12,15,10,12
90,10,15,6,13,14
91,13,14,13,8,9
92,6,11,11,12,6
93,8,12,11,9,11
94,6,14,14,14,13
95,7,15,8,11,9
96,8,6,14,6,6
97,14,10,6,11,10
98,6,8,14,8,15
99,11,8,7,11,14
